symbol,timeframe,trades,longs,long_wr,shorts,short_wr,wr_fee,wr_nofee,wr_delta,net,fee,gross,profit_factor,sharpe,max_dd_pct,max_win_streak,max_lose_streak,tp,sl,cut,rev,filtered
MAGMA,H1,46,24,58.33,22,63.64,60.87,65.22,4.35,412.6146,34.8605,447.4751,3.2209,1.2715,0.6664,6,4,2,44,0,0,5
BEL,H1,185,92,50.0,93,46.24,48.11,49.19,1.08,410.4224,142.2739,552.6963,1.6594,1.219,0.9058,5,6,4,181,0,0,109
RSR,H1,172,95,36.84,77,38.96,37.79,40.12,2.33,409.8397,133.6844,543.5242,1.5791,1.141,1.1961,5,8,11,161,0,0,90
BOME,H1,183,90,52.22,93,43.01,47.54,48.09,0.55,409.6409,139.3861,549.027,1.522,1.0565,0.9699,7,6,9,174,0,0,91
IN,H1,58,26,53.85,32,25.0,37.93,41.38,3.45,409.5662,43.6849,453.2511,2.4265,0.7128,0.4517,3,5,1,57,0,0,31
TUT,H1,85,41,48.78,44,36.36,42.35,44.71,2.35,409.4456,66.6885,476.1341,2.2243,0.8886,0.6817,5,5,6,79,0,0,52
1000SATS,H1,168,87,50.57,81,38.27,44.64,46.43,1.79,408.3301,128.9813,537.3113,1.5411,0.8989,0.6709,6,8,9,159,0,0,97
TAKE,H1,55,28,67.86,27,25.93,47.27,49.09,1.82,406.5032,41.3048,447.808,2.1744,0.8346,1.1903,3,3,4,50,1,0,25
IP,H1,91,48,39.58,43,39.53,39.56,41.76,2.2,404.5518,69.4342,473.9859,1.9086,0.8939,0.8043,5,6,7,84,0,0,47
AGLD,H1,190,94,41.49,96,39.58,40.53,43.16,2.63,403.3792,146.4008,549.78,1.4834,1.0372,0.8303,4,7,9,181,0,0,128
STO,H1,82,46,52.17,36,47.22,50.0,53.66,3.66,399.5362,61.1019,460.6382,2.25,1.339,0.6861,4,5,5,77,0,0,41
XPIN,H1,40,23,60.87,17,52.94,57.5,57.5,0.0,399.5095,30.5497,430.0592,4.6405,1.4441,0.2963,4,4,3,37,0,0,35
NEIRO,H1,133,68,45.59,65,44.62,45.11,45.11,0.0,396.1055,96.8547,492.9602,1.5946,0.8877,1.7319,7,7,9,124,0,0,61
TAO,H1,142,74,58.11,68,38.24,48.59,51.41,2.82,392.0866,108.191,500.2776,1.768,1.3427,1.0168,5,6,10,132,0,0,89
DEEP,H1,87,41,65.85,46,39.13,51.72,52.87,1.15,390.791,65.301,456.092,2.5688,1.7961,0.298,7,5,5,82,0,0,50
MITO,H1,46,23,56.52,23,26.09,41.3,43.48,2.17,388.7427,34.7466,423.4892,2.7924,1.1785,0.4143,5,6,3,43,0,0,37
ALCH,H1,115,58,60.34,57,45.61,53.04,53.91,0.87,387.6794,96.9926,484.672,1.2624,0.359,7.7882,7,6,10,103,2,0,61
ID,H1,161,81,53.09,80,45.0,49.07,51.55,2.48,386.3212,123.5568,509.878,1.7842,1.355,0.5961,6,5,6,155,0,0,101
BROCCOLIF3B,H1,84,46,47.83,38,36.84,42.86,42.86,0.0,386.2333,64.1052,450.3385,1.8392,0.9631,0.7152,6,7,2,82,0,0,46
MERL,H1,83,43,51.16,40,45.0,48.19,48.19,0.0,385.6156,62.3273,447.9429,1.9739,1.197,0.4468,4,4,3,80,0,0,32
REZ,H1,158,75,41.33,83,33.73,37.34,41.14,3.8,383.2328,120.3538,503.5867,1.5104,0.8025,1.2346,4,7,7,151,0,0,84
DASH,H1,156,71,33.8,85,45.88,40.38,43.59,3.21,382.28,115.5926,497.8725,1.7492,1.0075,0.6919,6,7,12,144,0,0,107
SEI,H1,177,83,45.78,94,44.68,45.2,46.89,1.69,381.155,133.0118,514.1669,1.6111,1.2599,0.8408,5,9,12,165,0,0,104
T,H1,157,73,45.21,84,40.48,42.68,45.86,3.18,378.6652,122.6331,501.2982,1.8096,0.9312,0.529,5,9,7,150,0,0,143
BLUR,H1,169,83,43.37,86,38.37,40.83,43.2,2.37,377.5117,127.5134,505.025,1.5579,0.8822,1.4528,6,11,9,160,0,0,121
M,H1,71,41,56.1,30,46.67,52.11,53.52,1.41,374.4229,52.892,427.315,2.2505,1.1845,0.9956,12,5,1,70,0,0,34
HEI,H1,91,49,51.02,42,42.86,47.25,51.65,4.4,373.9073,69.2766,443.1839,2.1112,1.0116,0.6144,8,6,4,86,1,0,83
XPL,H1,58,32,53.12,26,30.77,43.1,43.1,0.0,371.0863,44.1035,415.1898,2.3273,0.8391,0.5639,7,6,4,54,0,0,21
THETA,H1,182,92,52.17,90,41.11,46.7,51.1,4.4,370.6385,136.2142,506.8527,1.6593,1.2424,0.5376,6,5,8,174,0,0,115
BANANA,H1,121,63,38.1,58,50.0,43.8,46.28,2.48,368.0177,89.0886,457.1063,1.7816,1.2035,0.7571,6,7,7,114,0,0,74
1000FLOKI,H1,152,74,45.95,78,42.31,44.08,46.71,2.63,367.6233,117.2247,484.848,1.6051,0.9805,1.1008,5,6,7,145,0,0,121
HYPER,H1,86,46,43.48,40,42.5,43.02,44.19,1.16,364.2996,62.8624,427.162,2.0889,1.0095,0.7294,7,5,7,79,0,0,62
WCT,H1,87,46,58.7,41,41.46,50.57,54.02,3.45,363.2292,65.6119,428.8411,2.2077,1.0609,0.8833,6,5,6,80,1,0,47
