symbol,timeframe,trades,longs,long_wr,shorts,short_wr,wr_fee,wr_nofee,wr_delta,net,fee,gross,profit_factor,sharpe,max_dd_pct,max_win_streak,max_lose_streak,tp,sl,cut,rev,filtered
PROM,H1,70,33,48.48,37,40.54,44.29,51.43,7.14,219.6059,51.5883,271.1941,2.1106,1.241,0.3585,4,4,6,64,0,0,88
TURTLE,H1,36,20,60.0,16,56.25,58.33,63.89,5.56,219.2246,26.3957,245.6203,3.5481,1.3153,0.2403,4,3,1,35,0,0,24
XTZ,H1,135,60,41.67,75,41.33,41.48,44.44,2.96,217.6501,99.0053,316.6554,1.5427,0.8488,0.8356,5,9,8,127,0,0,161
KAS,H1,154,72,44.44,82,47.56,46.1,48.05,1.95,215.4103,114.2944,329.7047,1.3821,0.7238,0.742,7,6,5,149,0,0,131
ARK,H1,168,78,42.31,90,40.0,41.07,45.24,4.17,212.758,126.2991,339.0571,1.3533,0.7324,1.4502,5,7,7,161,0,0,135
ONG,H1,140,64,40.62,76,51.32,46.43,47.86,1.43,211.6946,104.1279,315.8225,1.4665,0.8563,0.837,5,5,6,134,0,0,146
SANTOS,H1,90,41,48.78,49,46.94,47.78,51.11,3.33,210.9803,65.0726,276.0529,1.8562,0.8511,0.7366,4,9,0,90,0,0,90
GLM,H1,147,72,52.78,75,38.67,45.58,48.3,2.72,210.8212,109.1167,319.9379,1.3923,0.6503,1.2339,5,6,6,140,1,0,122
POLYX,H1,158,74,41.89,84,40.48,41.14,46.2,5.06,208.887,118.2034,327.0904,1.3673,0.7382,0.9448,4,10,11,147,0,0,133
JASMY,H1,165,81,40.74,84,40.48,40.61,42.42,1.82,206.8011,122.8338,329.635,1.2658,0.5273,1.2101,5,9,5,159,1,0,132
KAITO,H1,87,42,38.1,45,44.44,41.38,45.98,4.6,204.4655,64.9702,269.4356,1.7251,0.7903,0.8399,4,10,5,82,0,0,60
XVS,H1,146,76,39.47,70,42.86,41.1,43.15,2.05,200.8884,109.3725,310.2609,1.378,0.7688,1.088,6,6,10,136,0,0,143
SAGA,H1,148,68,48.53,80,40.0,43.92,45.95,2.03,200.3293,109.8845,310.2138,1.3348,0.6912,1.6577,8,9,11,137,0,0,85
IDOL,H1,69,37,40.54,32,50.0,44.93,46.38,1.45,200.0361,50.559,250.5952,1.8252,0.9315,0.7666,5,6,3,66,0,0,44
SOL,H1,152,84,41.67,68,57.35,48.68,50.66,1.97,199.7184,113.5483,313.2667,1.4437,0.9442,1.0623,7,7,9,143,0,0,127
OPEN,H1,65,33,48.48,32,43.75,46.15,46.15,0.0,199.3383,47.182,246.5202,1.8188,0.9556,0.4182,3,4,7,58,0,0,29
ARKM,H1,191,91,40.66,100,43.0,41.88,43.98,2.09,198.3885,139.904,338.2925,1.2578,0.6301,1.0113,4,10,6,185,0,0,94
币安人生,H1,48,28,46.43,20,45.0,45.83,47.92,2.08,195.5849,36.329,231.9139,1.5902,0.5206,1.1393,5,8,1,47,0,0,24
ALICE,H1,172,83,42.17,89,40.45,41.28,45.93,4.65,192.8829,125.4194,318.3023,1.3054,0.6154,0.6756,4,8,4,168,0,0,103
BAND,H1,170,80,43.75,90,45.56,44.71,47.06,2.35,192.6931,125.8284,318.5215,1.3505,0.8577,0.7007,4,8,6,164,0,0,116
ZORA,H1,66,33,36.36,33,39.39,37.88,42.42,4.55,190.2077,48.2034,238.4111,1.4953,0.5837,1.1862,4,6,6,59,1,0,32
ENSO,H1,36,18,66.67,18,33.33,50.0,58.33,8.33,189.4694,26.1703,215.6397,2.2597,0.6405,0.6332,6,4,2,34,0,0,24
NEAR,H1,182,87,42.53,95,44.21,43.41,47.25,3.85,188.8527,133.027,321.8797,1.2868,0.6113,0.9189,5,10,10,172,0,0,105
RENDER,H1,128,65,40.0,63,36.51,38.28,42.97,4.69,187.8463,94.035,281.8813,1.3737,0.6954,0.7462,3,7,7,121,0,0,91
ACH,H1,184,96,40.62,88,43.18,41.85,46.2,4.35,187.3471,134.7845,322.1316,1.3068,0.7291,0.603,5,7,9,175,0,0,124
ZK,H1,150,81,43.21,69,40.58,42.0,43.33,1.33,186.7348,108.8091,295.5439,1.3141,0.6652,1.2975,6,13,8,142,0,0,95
2Z,H1,45,25,48.0,20,40.0,44.44,48.89,4.44,186.5801,33.7303,220.3104,2.2177,0.9431,0.4886,5,4,3,42,0,0,21
BMT,H1,80,36,36.11,44,43.18,40.0,43.75,3.75,186.2934,58.3249,244.6182,1.4533,0.4829,1.5898,3,7,5,74,1,0,63
FORM,H1,77,42,45.24,35,54.29,49.35,50.65,1.3,184.7964,55.2993,240.0958,1.5763,0.7261,0.8828,4,6,2,74,1,0,52
0G,H1,38,18,33.33,20,55.0,44.74,47.37,2.63,184.6372,28.2689,212.9061,1.8894,0.5705,0.8786,4,4,1,36,1,0,35
ZKP,H1,30,15,53.33,15,46.67,50.0,50.0,0.0,180.9214,22.2488,203.1702,2.6178,0.8459,0.3932,4,5,1,29,0,0,21
ASTR,H1,145,70,48.57,75,42.67,45.52,48.28,2.76,180.8833,106.8017,287.6849,1.4023,0.8236,0.5145,6,5,11,134,0,0,124
USELESS,H1,71,33,42.42,38,44.74,43.66,45.07,1.41,180.876,52.6245,233.5004,1.3873,0.5894,1.426,4,8,4,67,0,0,18
KAVA,H1,146,75,36.0,71,40.85,38.36,44.52,6.16,180.1408,107.0095,287.1503,1.3554,0.4513,0.9783,6,12,4,142,0,0,142
VIC,H1,91,43,41.86,48,35.42,38.46,43.96,5.49,178.6468,66.8134,245.4602,1.5522,0.6346,0.5071,4,8,4,87,0,0,58
B2,H1,67,28,50.0,39,46.15,47.76,47.76,0.0,177.9877,48.2908,226.2785,1.6986,0.7393,0.6016,5,7,2,65,0,0,69
GALA,H1,168,85,31.76,83,48.19,39.88,42.26,2.38,176.7737,122.2593,299.0331,1.2937,0.6831,1.0957,8,12,12,156,0,0,97
AAVE,H1,176,93,33.33,83,44.58,38.64,42.05,3.41,175.4962,130.7173,306.2135,1.2801,0.6268,1.0234,4,12,11,165,0,0,125
TRUTH,H1,46,24,45.83,22,50.0,47.83,50.0,2.17,175.4071,34.0792,209.4863,1.624,0.58,0.6356,5,6,3,43,0,0,21
XLM,H1,124,57,38.6,67,44.78,41.94,46.77,4.84,172.4609,91.5871,264.048,1.4862,0.7398,0.7951,5,6,5,119,0,0,157
1000SHIB,H1,126,56,41.07,70,48.57,45.24,49.21,3.97,172.4149,91.754,264.1689,1.4911,0.7766,0.5091,5,5,7,119,0,0,159
MET,H1,41,19,52.63,22,40.91,46.34,48.78,2.44,171.8159,29.612,201.4279,2.1802,0.9761,0.6342,4,5,6,35,0,0,29
ACX,H1,88,43,46.51,45,46.67,46.59,50.0,3.41,171.1396,64.8172,235.9568,1.6117,0.8333,0.4912,5,5,4,84,0,0,73
EDEN,H1,46,24,41.67,22,50.0,45.65,47.83,2.17,170.8988,33.4718,204.3706,2.0736,0.9256,0.3946,5,3,2,44,0,0,26
CELO,H1,167,80,40.0,87,42.53,41.32,45.51,4.19,169.4973,121.8247,291.322,1.3008,0.6797,1.0029,4,9,9,158,0,0,109
ASR,H1,52,26,50.0,26,26.92,38.46,42.31,3.85,166.9895,38.3822,205.3717,1.8912,0.6902,0.4525,4,5,1,51,0,0,74
JST,H1,58,27,44.44,31,48.39,46.55,51.72,5.17,166.1451,42.9317,209.0768,2.196,0.832,0.4759,4,9,1,57,0,0,93
WLFI,H1,48,25,36.0,23,56.52,45.83,50.0,4.17,165.3641,35.2766,200.6407,1.9137,0.8258,0.4159,4,4,5,43,0,0,45
MANTA,H1,192,98,43.88,94,41.49,42.71,46.35,3.65,162.0848,140.5687,302.6534,1.2344,0.5758,0.7154,6,8,8,184,0,0,104
LISTA,H1,149,70,42.86,79,34.18,38.26,38.93,0.67,161.4569,111.1599,272.6167,1.1909,0.3881,1.7108,5,9,12,136,1,0,92
BLUAI,H1,43,23,56.52,20,35.0,46.51,48.84,2.33,160.5313,31.6699,192.2012,1.6934,0.6836,0.4519,4,4,1,42,0,0,20
LA,H1,82,40,50.0,42,52.38,51.22,54.88,3.66,160.4304,59.5901,220.0205,1.4364,0.497,1.6151,6,7,2,79,1,0,47
JOE,H1,168,82,45.12,86,33.72,39.29,41.67,2.38,160.2739,126.227,286.5009,1.2512,0.5948,1.0945,4,9,9,159,0,0,79
APT,H1,171,84,33.33,87,41.38,37.43,39.77,2.34,159.9726,125.6241,285.5966,1.2614,0.6101,1.0098,3,9,10,161,0,0,116
AT,H1,25,14,64.29,11,45.45,56.0,56.0,0.0,158.3747,18.4221,176.7969,2.7673,0.733,0.2938,7,2,1,24,0,0,55
KAIA,H1,75,38,47.37,37,35.14,41.33,45.33,4.0,157.3566,55.0567,212.4133,1.7876,0.8884,0.297,4,6,4,71,0,0,103
BICO,H1,175,86,46.51,89,43.82,45.14,46.86,1.71,156.9984,128.6007,285.5991,1.2468,0.6157,0.9004,6,9,4,170,0,0,103
F,H1,56,27,44.44,29,20.69,32.14,33.93,1.79,155.7434,40.9534,196.6968,1.599,0.5534,0.8009,3,10,1,55,0,0,49
NOM,H1,44,23,52.17,21,33.33,43.18,43.18,0.0,154.4944,32.0891,186.5835,1.7527,0.6076,0.6076,3,3,2,42,0,0,20
LTC,H1,124,57,40.35,67,43.28,41.94,47.58,5.65,151.8841,91.9488,243.8329,1.4273,0.6664,0.9334,6,6,6,118,0,0,192
FF,H1,39,20,35.0,19,42.11,38.46,38.46,0.0,149.8246,27.9462,177.7708,1.903,0.4709,0.489,2,6,0,39,0,0,42
ME,H1,106,45,46.67,61,39.34,42.45,45.28,2.83,149.6282,77.8662,227.4944,1.3537,0.5689,1.2133,5,7,5,101,0,0,68
RUNE,H1,152,74,47.3,78,35.9,41.45,42.76,1.32,147.9694,111.9577,259.9272,1.2809,0.5644,0.797,4,10,5,147,0,0,115
ENA,H1,164,87,37.93,77,48.05,42.68,43.9,1.22,146.767,118.3865,265.1535,1.1954,0.4817,1.0736,5,8,8,156,0,0,71
ILV,H1,174,85,42.35,89,34.83,38.51,41.95,3.45,145.9578,126.4815,272.4392,1.2169,0.4741,0.8198,3,8,10,164,0,0,99
TREE,H1,68,34,44.12,34,29.41,36.76,38.24,1.47,145.0546,50.7242,195.7788,1.4801,0.4989,1.1488,4,8,2,66,0,0,45
OP,H1,160,75,44.0,85,37.65,40.62,43.75,3.12,143.4015,117.7902,261.1917,1.2432,0.4498,0.9489,4,11,6,154,0,0,105
SPACE,H1,21,11,54.55,10,30.0,42.86,42.86,0.0,142.0002,15.1711,157.1713,2.0657,0.6553,0.3761,4,3,2,19,0,0,9
HAEDAL,H1,74,39,43.59,35,34.29,39.19,40.54,1.35,141.7382,55.1778,196.916,1.4922,0.6558,0.824,4,7,5,69,0,0,53
INX,H1,28,15,26.67,13,46.15,35.71,42.86,7.14,140.4833,20.2768,160.7601,2.4387,0.8126,0.4812,2,7,1,27,0,0,13
VVV,H1,100,49,40.82,51,39.22,40.0,43.0,3.0,139.6243,72.08,211.7043,1.3029,0.4842,1.2199,4,7,3,97,0,0,55
SKY,H1,55,26,46.15,29,37.93,41.82,49.09,7.27,138.205,40.0467,178.2517,1.9874,0.9698,0.2498,3,5,6,49,0,0,48
QNT,H1,147,72,47.22,75,29.33,38.1,39.46,1.36,137.8752,106.2354,244.1106,1.2918,0.5802,0.6155,4,8,8,139,0,0,162
BNB,H1,82,38,34.21,44,43.18,39.02,43.9,4.88,137.6764,60.2423,197.9187,1.8363,1.0165,0.3681,4,8,7,75,0,0,217
BREV,H1,24,12,33.33,12,75.0,54.17,54.17,0.0,136.2436,17.2992,153.5427,3.3701,0.9967,0.1885,4,2,2,22,0,0,16
JCT,H1,45,24,66.67,21,52.38,60.0,60.0,0.0,135.277,32.9778,168.2548,1.5303,0.561,0.881,5,4,1,44,0,0,17
GTC,H1,177,86,34.88,91,38.46,36.72,38.42,1.69,135.1654,129.3063,264.4717,1.1836,0.3522,1.2669,6,15,8,169,0,0,111
BILL,H1,1,1,100.0,0,0.0,100.0,100.0,0.0,134.6253,0.7623,135.3876,134625.2907,0,0,1,0,1,0,0,0,0
AIN,H1,55,24,54.17,31,35.48,43.64,45.45,1.82,134.0456,40.3353,174.3809,1.4672,0.5848,0.8439,4,6,3,52,0,0,27
APE,H1,167,80,38.75,87,41.38,40.12,43.71,3.59,131.2964,124.4873,255.7837,1.2,0.4548,1.5259,5,9,9,158,0,0,134
SAND,H1,145,71,36.62,74,40.54,38.62,42.76,4.14,131.0751,105.6744,236.7495,1.2582,0.5244,1.1442,4,5,12,133,0,0,126
SCR,H1,122,56,46.43,66,43.94,45.08,45.08,0.0,129.7414,88.4575,218.199,1.2289,0.4176,1.8829,6,6,6,115,1,0,78
NXPC,H1,64,32,37.5,32,46.88,42.19,46.88,4.69,123.9146,47.0982,171.0129,1.6078,0.7624,0.7173,5,6,1,63,0,0,63
RAVE,H1,38,18,33.33,20,50.0,42.11,44.74,2.63,122.35,27.1527,149.5027,1.6,0.3991,0.5956,3,5,1,37,0,0,18
ICP,H1,157,82,37.8,75,33.33,35.67,37.58,1.91,122.2263,114.477,236.7032,1.2232,0.4716,1.1539,4,9,9,148,0,0,126
ONE,H1,175,84,39.29,91,39.56,39.43,41.71,2.29,121.3664,127.5086,248.875,1.1805,0.4592,0.7691,5,8,10,165,0,0,109
HYPE,H1,66,39,56.41,27,29.63,45.45,48.48,3.03,121.2705,47.8297,169.1002,1.5871,0.7932,0.4067,4,6,1,65,0,0,45
FOLKS,H1,43,25,40.0,18,27.78,34.88,34.88,0.0,120.8211,31.6963,152.5174,1.4149,0.4754,0.8394,3,7,3,40,0,0,19
FLOCK,H1,44,24,70.83,20,35.0,54.55,56.82,2.27,120.127,32.2115,152.3385,1.8301,0.8159,0.4404,5,4,1,43,0,0,26
ALGO,H1,148,73,41.1,75,38.67,39.86,41.22,1.35,119.9354,106.8326,226.768,1.2353,0.489,1.057,4,8,5,143,0,0,115
GMT,H1,163,74,32.43,89,43.82,38.65,42.94,4.29,118.4856,118.0095,236.4951,1.2255,0.4495,0.7901,5,8,5,158,0,0,101
KITE,H1,40,19,52.63,21,52.38,52.5,52.5,0.0,117.5704,28.8633,146.4337,1.7189,0.665,0.7109,5,4,1,39,0,0,34
GUA,H1,32,17,41.18,15,53.33,46.88,50.0,3.12,116.8476,23.0479,139.8955,1.9354,0.6738,0.4783,4,4,0,32,0,0,21
DYDX,H1,178,81,40.74,97,36.08,38.2,43.26,5.06,114.6792,127.8773,242.5565,1.1717,0.4277,0.8131,4,8,4,174,0,0,99
DOGS,H1,145,67,46.27,78,42.31,44.14,44.83,0.69,114.1879,107.0842,221.2721,1.1839,0.4186,1.4266,7,8,5,140,0,0,78
IOTA,H1,153,76,40.79,77,44.16,42.48,47.06,4.58,113.2154,109.509,222.7244,1.2224,0.4909,0.9524,7,9,8,145,0,0,116
RIVER,H1,49,26,57.69,23,30.43,44.9,44.9,0.0,111.1627,34.6826,145.8453,1.1631,0.1983,2.5336,5,4,5,43,1,0,17
BARD,H1,40,18,55.56,22,54.55,55.0,55.0,0.0,111.0308,28.8607,139.8915,1.8242,0.7334,0.418,8,5,1,39,0,0,38
MIRA,H1,44,23,47.83,21,47.62,47.73,47.73,0.0,110.4206,31.8817,142.3022,1.928,0.6691,0.1976,3,4,1,43,0,0,29
ZRO,H1,159,80,46.25,79,41.77,44.03,45.91,1.89,109.709,115.1521,224.861,1.1751,0.3932,1.1931,4,8,7,152,0,0,66
ZETA,H1,169,86,38.37,83,34.94,36.69,39.05,2.37,108.7855,122.8315,231.617,1.1663,0.3964,0.9652,4,8,6,163,0,0,109
TAIKO,H1,58,28,50.0,30,53.33,51.72,55.17,3.45,108.6623,41.8614,150.5238,2.0183,1.0154,0.2177,8,4,2,56,0,0,45
PLUME,H1,86,46,41.3,40,47.5,44.19,44.19,0.0,107.7114,62.4717,170.1831,1.3233,0.5407,0.8928,5,6,4,82,0,0,55
MEGA,H1,16,10,40.0,6,83.33,56.25,56.25,0.0,106.7465,11.476,118.2225,3.7581,1.0199,0.0951,3,2,1,15,0,0,32
1000CAT,H1,126,65,41.54,61,37.7,39.68,42.86,3.17,106.0897,90.1597,196.2494,1.1799,0.3832,1.7176,4,12,8,118,0,0,53
POWR,H1,147,68,55.88,79,30.38,42.18,44.22,2.04,104.5077,107.4154,211.9231,1.2204,0.4856,0.5329,4,7,8,139,0,0,142
MAVIA,H1,78,38,31.58,40,37.5,34.62,35.9,1.28,104.3882,57.161,161.5492,1.2776,0.4039,1.2256,5,8,4,74,0,0,48
ATOM,H1,141,69,46.38,72,41.67,43.97,48.23,4.26,100.9354,103.0655,204.001,1.2637,0.5773,0.5052,9,7,9,132,0,0,136
CATI,H1,121,53,47.17,68,33.82,39.67,41.32,1.65,99.9122,87.1169,187.0291,1.1738,0.313,2.3955,3,8,4,116,1,0,102
LUMIA,H1,106,55,43.64,51,39.22,41.51,45.28,3.77,99.6089,76.4139,176.0229,1.2177,0.397,0.8923,5,9,5,101,0,0,73
COLLECT,H1,32,17,17.65,15,53.33,34.38,37.5,3.12,97.0081,23.3603,120.3684,1.3572,0.3476,1.4657,2,9,2,30,0,0,8
COMP,H1,149,73,41.1,76,44.74,42.95,45.64,2.68,96.3464,106.9523,203.2987,1.2018,0.427,1.0541,4,10,7,142,0,0,139
NIGHT,H1,32,16,31.25,16,37.5,34.38,40.62,6.25,95.545,23.4182,118.9632,1.8503,0.6418,0.7397,4,9,3,29,0,0,20
XRP,H1,98,45,31.11,53,39.62,35.71,40.82,5.1,93.8294,71.709,165.5384,1.2884,0.3741,0.8329,3,9,1,97,0,0,181
HBAR,H1,152,74,39.19,78,38.46,38.82,40.13,1.32,93.5702,109.9182,203.4884,1.1491,0.3268,0.7923,4,11,6,146,0,0,143
ZBT,H1,46,22,45.45,24,33.33,39.13,39.13,0.0,93.2702,33.4919,126.7621,1.4084,0.4748,1.032,7,7,2,44,0,0,20
ANKR,H1,145,67,40.3,78,38.46,39.31,43.45,4.14,93.2218,106.254,199.4757,1.1825,0.4187,0.7523,3,5,8,137,0,0,132
WAXP,H1,141,63,36.51,78,38.46,37.59,43.97,6.38,91.7767,102.6533,194.43,1.2172,0.469,0.794,5,11,5,136,0,0,140
1000000MOG,H1,129,66,40.91,63,36.51,38.76,41.09,2.33,90.6403,91.4382,182.0786,1.1354,0.2783,1.7392,6,8,7,122,0,0,52
EDGE,H1,14,7,71.43,7,42.86,57.14,57.14,0.0,90.2043,10.0995,100.3039,2.409,0.6949,0.4373,3,3,3,11,0,0,5
SUN,H1,64,27,44.44,37,37.84,40.62,53.12,12.5,90.1247,46.2061,136.3309,1.5817,0.5464,0.3604,5,6,3,61,0,0,135
POL,H1,92,42,40.48,50,50.0,45.65,47.83,2.17,89.3282,67.0823,156.4104,1.3484,0.5466,0.6746,6,6,4,88,0,0,97
SFP,H1,134,60,46.67,74,36.49,41.04,45.52,4.48,88.4459,97.2218,185.6677,1.2466,0.5356,0.4376,6,7,5,129,0,0,193
ESP,H1,20,10,50.0,10,70.0,60.0,60.0,0.0,85.4314,14.5087,99.9401,3.2988,0.9289,0.11,3,2,2,18,0,0,7
SKR,H1,24,12,41.67,12,50.0,45.83,50.0,4.17,85.1336,17.2582,102.3918,1.709,0.4363,0.5087,4,4,1,23,0,0,17
VELODROME,H1,95,43,53.49,52,32.69,42.11,45.26,3.16,83.9596,68.6581,152.6177,1.2738,0.4563,0.4979,5,9,6,89,0,0,78
ON,H1,33,16,50.0,17,47.06,48.48,48.48,0.0,83.5869,23.8153,107.4021,1.5561,0.4966,0.5239,4,4,0,33,0,0,25
FLUX,H1,123,56,48.21,67,41.79,44.72,48.78,4.07,83.2331,89.8564,173.0894,1.1938,0.3657,1.1191,6,9,6,117,0,0,82
TRX,H1,39,12,58.33,27,33.33,41.03,48.72,7.69,82.453,28.3677,110.8207,2.2255,0.8509,0.2197,3,7,5,34,0,0,246
VANRY,H1,169,80,40.0,89,43.82,42.01,47.34,5.33,81.4355,122.9047,204.3401,1.1296,0.2924,1.069,5,9,2,167,0,0,100
ZKC,H1,43,22,45.45,21,42.86,44.19,44.19,0.0,79.5668,31.4031,110.9699,1.5224,0.4467,0.4637,4,3,0,43,0,0,40
TIA,H1,187,90,40.0,97,41.24,40.64,42.78,2.14,79.2004,134.8181,214.0185,1.0947,0.2509,1.1091,4,7,8,178,1,0,96
BAT,H1,180,82,39.02,98,45.92,42.78,45.56,2.78,78.7069,129.5642,208.2711,1.1413,0.3598,0.6072,5,9,5,175,0,0,117
POWER,H1,31,14,50.0,17,64.71,58.06,58.06,0.0,78.1485,22.64,100.7884,1.1761,0.1475,3.2107,5,4,4,26,1,0,14
SAHARA,H1,64,34,38.24,30,50.0,43.75,45.31,1.56,76.1459,46.2534,122.3993,1.2974,0.3982,0.6525,4,5,1,63,0,0,37
CVC,H1,62,30,40.0,32,31.25,35.48,38.71,3.23,76.0115,44.9989,121.0104,1.4607,0.5565,0.3751,5,5,3,59,0,0,60
TRUMP,H1,64,30,56.67,34,29.41,42.19,48.44,6.25,73.5973,46.0894,119.6867,1.3705,0.4689,0.5338,4,6,3,61,0,0,69
OPG,H1,4,2,50.0,2,100.0,75.0,75.0,0.0,73.57,2.8525,76.4225,31.3131,0.7593,0.0243,2,1,1,3,0,0,1
CRV,H1,171,84,38.1,87,37.93,38.01,40.94,2.92,70.1336,124.644,194.7776,1.1017,0.2515,0.9197,5,8,7,164,0,0,133
APR,H1,48,27,40.74,21,28.57,35.42,37.5,2.08,69.6187,34.4998,104.1185,1.2299,0.2661,1.3762,4,8,2,46,0,0,15
HIVE,H1,90,37,43.24,53,30.19,35.56,38.89,3.33,68.8188,64.7449,133.5637,1.2289,0.3757,0.9555,3,7,3,87,0,0,85
FRAX,H1,28,14,42.86,14,57.14,50.0,53.57,3.57,68.5096,20.1729,88.6825,1.9,0.5917,0.3924,6,5,1,27,0,0,12
LSK,H1,142,63,38.1,79,48.1,43.66,46.48,2.82,68.4886,104.1449,172.6335,1.1275,0.2671,1.3102,4,7,6,135,1,0,131
WET,H1,33,17,58.82,16,25.0,42.42,45.45,3.03,66.6746,23.6698,90.3443,1.4785,0.4066,0.3802,3,4,1,32,0,0,22
ONT,H1,165,82,34.15,83,30.12,32.12,36.97,4.85,66.5635,115.366,181.9295,1.1162,0.2352,1.4449,3,9,7,158,0,0,105
MOVR,H1,162,79,43.04,83,30.12,36.42,41.36,4.94,60.634,115.4791,176.113,1.0999,0.2452,1.4657,5,10,6,156,0,0,130
US,H1,34,17,35.29,17,41.18,38.24,44.12,5.88,59.6768,24.2374,83.9143,1.4264,0.4011,0.4848,3,5,0,34,0,0,10
YB,H1,42,20,45.0,22,36.36,40.48,45.24,4.76,59.2177,30.2699,89.4877,1.2856,0.299,0.4284,2,4,3,39,0,0,23
ETH,H1,113,49,42.86,64,39.06,40.71,44.25,3.54,58.2156,82.2046,140.4202,1.196,0.3723,0.6472,5,11,4,109,0,0,152
HIGH,H1,170,83,42.17,87,37.93,40.0,41.76,1.76,56.4417,123.2047,179.6464,1.074,0.2026,1.9389,4,10,9,161,0,0,96
LAYER,H1,80,38,50.0,42,28.57,38.75,42.5,3.75,54.4587,57.5469,112.0056,1.1865,0.2787,0.4746,3,6,4,76,0,0,54
MON,H1,59,32,43.75,27,25.93,35.59,37.29,1.69,50.8854,43.4938,94.3792,1.1427,0.1313,1.7742,3,7,1,58,0,0,18
NEWT,H1,77,38,39.47,39,38.46,38.96,45.45,6.49,49.8117,54.9267,104.7384,1.1893,0.2695,0.6211,5,9,2,75,0,0,44
TON,H1,112,50,48.0,62,38.71,42.86,46.43,3.57,49.7439,80.2793,130.0233,1.1496,0.3059,0.5614,4,9,6,106,0,0,139
HUMA,H1,72,37,43.24,35,31.43,37.5,40.28,2.78,47.2912,51.205,98.4962,1.1433,0.2421,0.9317,5,6,1,71,0,0,39
ALPINE,H1,63,32,31.25,31,29.03,30.16,31.75,1.59,47.1167,45.6277,92.7444,1.193,0.2303,0.829,5,13,3,60,0,0,72
PUMP,H1,69,36,36.11,33,33.33,34.78,37.68,2.9,46.287,49.6421,95.9291,1.1276,0.2146,0.799,5,7,5,64,0,0,28
BASED,H1,8,4,0.0,4,100.0,50.0,50.0,0.0,45.7524,5.6432,51.3956,1.6971,0.3115,0.4163,1,1,1,7,0,0,0
PRL,H1,9,5,80.0,4,25.0,55.56,55.56,0.0,44.841,6.4748,51.3158,1.9444,0.3389,0.3942,4,3,0,9,0,0,5
C,H1,68,37,45.95,31,45.16,45.59,47.06,1.47,44.5575,48.9176,93.4751,1.1428,0.2303,1.0056,5,7,2,66,0,0,35
FOGO,H1,23,12,58.33,11,18.18,39.13,39.13,0.0,44.3654,16.3588,60.7242,1.3856,0.3358,0.4815,2,4,2,21,0,0,17
TOWNS,H1,62,33,30.3,29,44.83,37.1,38.71,1.61,42.5575,44.7301,87.2876,1.1677,0.2484,0.5712,2,5,2,60,0,0,33
GOAT,H1,123,60,40.0,63,38.1,39.02,41.46,2.44,41.6536,87.8536,129.5072,1.0646,0.1258,2.2071,4,7,4,119,0,0,62
OPN,H1,14,7,14.29,7,42.86,28.57,28.57,0.0,39.4513,10.0519,49.5032,1.7417,0.3677,0.1878,1,4,1,13,0,0,9
MANTRA,H1,13,7,28.57,6,16.67,23.08,30.77,7.69,38.3199,9.385,47.7049,1.9866,0.3815,0.1949,2,6,0,13,0,0,14
TWT,H1,119,59,38.98,60,46.67,42.86,42.86,0.0,38.1101,86.1004,124.2105,1.1143,0.2365,0.6069,6,9,6,113,0,0,148
SLP,H1,53,27,29.63,26,46.15,37.74,39.62,1.89,38.0034,37.7374,75.7408,1.2043,0.202,0.7352,4,13,0,53,0,0,56
ZRX,H1,160,74,36.49,86,44.19,40.62,45.0,4.38,35.4731,114.082,149.5551,1.0648,0.1362,1.8957,4,7,3,157,0,0,127
ALLO,H1,36,17,52.94,19,26.32,38.89,38.89,0.0,32.8386,25.7456,58.5842,1.2512,0.2628,0.6374,3,6,2,33,0,0,22
CYS,H1,36,20,55.0,16,18.75,38.89,41.67,2.78,32.5261,25.3747,57.9008,1.1156,0.1416,1.2034,3,4,3,33,0,0,6
BULLA,H1,57,30,50.0,27,33.33,42.11,43.86,1.75,31.1467,40.9093,72.056,1.0865,0.1244,1.0024,5,5,0,57,0,0,35
MOCA,H1,115,50,30.0,65,32.31,31.3,33.91,2.61,30.0409,82.1991,112.2399,1.0657,0.1224,1.1689,4,13,2,113,0,0,73
BIRB,H1,20,9,44.44,11,63.64,55.0,55.0,0.0,29.7689,14.3561,44.125,1.5133,0.4247,0.1712,4,3,0,20,0,0,8
HANA,H1,55,29,37.93,26,30.77,34.55,34.55,0.0,27.8981,40.2494,68.1475,1.0656,0.0922,1.1323,3,8,0,55,0,0,23
BTCDOM,H1,40,19,36.84,21,38.1,37.5,47.5,10.0,27.1851,28.6886,55.8737,1.4713,0.4918,0.1515,3,6,2,38,0,0,271
AIA,H1,15,8,62.5,7,42.86,53.33,53.33,0.0,27.1482,10.8692,38.0174,1.337,0.2851,0.5419,4,5,0,15,0,0,10
PUNDIX,H1,60,24,37.5,36,36.11,36.67,38.33,1.67,27.143,43.0573,70.2003,1.1782,0.2641,0.6237,5,10,1,59,0,0,82
CHIP,H1,6,3,66.67,3,66.67,66.67,66.67,0.0,25.1115,4.3014,29.4129,2.9731,0.55,0.1271,3,2,0,6,0,0,2
PAXG,H1,11,4,0.0,7,57.14,36.36,45.45,9.09,21.2981,7.8648,29.1629,2.1142,0.3562,0.0953,2,3,0,11,0,0,114
STABLE,H1,38,20,50.0,18,38.89,44.74,52.63,7.89,20.8677,27.2083,48.076,1.117,0.1478,0.7529,4,5,0,38,0,0,23
